Appetizer,Entrée ,Dessert
seafood,meat,fruit
meat alternative,vegetable,prepared food
seafood,meat,cheese
meat alternative,seafood,condiment
fruit,meat,prepared food
vegetable,snack food,vegetable
vegetable,vegetable,fruit
seafood,vegetable,snack food
pasta,vegetable,fruit
seafood,seafood,snack food
condiment,meat,condiment
meat,seafood,fruit
seafood,meat,fruit
bread,condiment,grain
vegetable,vegetable,vegetable
seafood,meat,fruit
meat,seafood,fruit
meat,seafood,nuts
meat,meat,vegetable
seafood,meat,alcohol
condiment,meat,vegetable
seafood,meat,bread
seafood,meat,fruit
seafood,meat,snack food
bread,seafood,snack food
seafood,meat,bread
seafood,meat,vegetable
vegetable,seafood,vegetable
seafood,meat,fruit
meat,vegetable,fruit
meat,seafood,fruit
meat,vegetable,vegetable
meat,seafood,fruit
seafood,seafood,beverage
alcohol,vegetable,fruit
fruit,fruit,fruit
fruit,vegetable,prepared food
fruit,fruit,prepared food
fruit,vegetable,dairy
fruit,snack food,vegetable
alcohol,seafood,fruit
meat,vegetable,fruit
vegetable,vegetable,fruit
seafood,cheese,snack food
fruit,seafood,fruit
seafood,meat,grain
seafood,meat,bread
meat,seafood,cheese
meat,meat,bread
fruit,meat,condiment
fruit,seafood,fruit
vegetable,meat,breakfast
meat,seafood,alcohol
seafood,meat,fruit
snack food,meat,vegetable
fruit,seafood,vegetable
vegetable,beverage,beverage
fruit,meat,fruit
seafood,fruit,prepared food
seafood,seafood,alcohol
seafood,meat,grain
vegetable,meat,vegetable
fruit,snack food,fruit
meat,meat,prepared food
seafood,meat,fruit
beverage,condiment,snack food
seafood,alcohol,breakfast
meat,condiment,fruit
condiment,vegetable,alcohol
seafood,meat,fruit
meat,fruit,vegetable
snack food,meat,snack food
pasta,seafood,snack food
bread,snack food,fruit
meat,meat,snack food
fruit,meat,alcohol
meat alternative,meat,fruit
meat,vegetable,fruit
meat,grain,snack food
seafood,meat,fruit
seafood,pasta,snack food
seafood,meat,condiment
snack food,fruit,bread
bread,snack food,dairy
cheese,alcohol,snack food
meat,vegetable,fruit
seafood,seafood,snack food
meat,meat,snack food
bread,meat,bread
breakfast,vegetable,eggs
fruit,snack food,fruit
seafood,seafood,bread
pasta,alcohol,spice
meat,meat,snack food
fruit,meat,alcohol
seafood,meat,fruit
vegetable,meat,fruit
breakfast,seafood,prepared food
seafood,seafood,alcohol
meat,seafood,prepared food
seafood,snack food,eggs
vegetable,condiment,beverage
condiment,meat,pasta
vegetable,fruit,prepared food
meat,seafood,vegetable
meat,vegetable,alcohol
seafood,vegetable,nuts
vegetable,fruit,snack food
meat,meat,snack food
meat,vegetable,alcohol
vegetable,beverage,breakfast
meat,fruit,breakfast
meat,meat,condiment
meat,meat,pasta
seafood,seafood,snack food
vegetable,spice,spice
seafood,seafood,fruit
breakfast,fruit,eggs
seafood,meat,condiment
prepared food,meat,grain
fruit,vegetable,prepared food
alcohol,meat,alcohol
fruit,alcohol,beverage
seafood,seafood,beverage
eggs,seafood,fruit
prepared food,meat,beverage
alcohol,seafood,vegetable
cheese,fruit,snack food
vegetable,meat,beverage
bread,meat,condiment
seafood,meat,fruit
meat,seafood,bread
vegetable,meat,breakfast
condiment,snack food,bread
vegetable,nuts,beverage
meat,seafood,snack food
meat,meat,beverage
vegetable,prepared food,snack food
seafood,seafood,alcohol
meat,seafood,fruit
fruit,alcohol,fruit
seafood,meat,alcohol
prepared food,vegetable,snack food
meat,condiment,snack food
snack food,meat,grain
seafood,snack food,bread
meat,seafood,breakfast
meat,seafood,condiment
seafood,seafood,breakfast
meat,meat,breakfast
snack food,snack food,vegetable
meat,meat,meat
meat,meat,condiment
vegetable,meat,grain
snack food,meat,condiment
seafood,meat,condiment
seafood,meat,vegetable
meat,meat,fruit
seafood,meat,fruit
prepared food,meat,snack food
prepared food,meat,snack food
prepared food,seafood,meat
snack food,meat,spice
seafood,meat,fruit
beverage,meat,fruit
meat,seafood,beverage
vegetable,seafood,fruit
seafood,meat,vegetable
snack food,meat,vegetable
seafood,meat,snack food
seafood,meat,alcohol
snack food,meat,snack food
seafood,meat,fruit
snack food,seafood,grain
fruit,meat,vegetable
condiment,alcohol,snack food
snack food,vegetable,snack food
beverage,prepared food,alcohol
fruit,meat,nuts
meat,prepared food,meat
meat,bread,fruit
fruit,condiment,dairy
seafood,vegetable,condiment
fruit,prepared food,condiment
prepared food,fruit,fruit
seafood,seafood,grain
vegetable,meat,fruit
seafood,meat,condiment
meat,prepared food,fruit
meat,meat,condiment
meat alternative,condiment,meat
fruit,meat,snack food
meat,seafood,snack food
meat,meat,fruit
fruit,seafood,condiment
snack food,prepared food,prepared food
fruit,meat,pasta
snack food,snack food,snack food
meat,meat,prepared food
beverage,vegetable,bread
meat,seafood,condiment
seafood,vegetable,prepared food
prepared food,seafood,cheese
meat,meat,vegetable
meat,meat,snack food
meat,meat,condiment
eggs,eggs,eggs
snack food,prepared food,snack food
meat,meat,fruit
meat alternative,condiment,beverage
condiment,seafood,spice
condiment,prepared food,alcohol
seafood,prepared food,prepared food
seafood,snack food,snack food
seafood,prepared food,prepared food
seafood,snack food,fruit
vegetable,fruit,prepared food
meat,meat,beverage
prepared food,prepared food,bread
meat,meat,bread
snack food,snack food,condiment
meat,meat,meat
alcohol,alcohol,alcohol
prepared food,alcohol,prepared food
meat,seafood,beverage
meat,condiment,fruit
prepared food,snack food,fruit
seafood,meat,grain
beverage,meat,breakfast
meat,meat,snack food
meat,meat,snack food
seafood,seafood,snack food
prepared food,meat,cheese
meat,condiment,vegetable
prepared food,seafood,fruit
prepared food,meat,beverage
snack food,prepared food,alcohol
snack food,alcohol,snack food
snack food,seafood,meat
prepared food,prepared food,prepared food
meat,meat,snack food
seafood,snack food,alcohol
prepared food,condiment,condiment
meat,seafood,alcohol
seafood,condiment,condiment
meat,snack food,beverage
pasta,meat,nuts
seafood,meat,snack food
pasta,fruit,beverage
vegetable,pasta,prepared food
meat,snak,prepared food
vegetable,seafood,prepared food
seafood,meat,snack food
meat,snack food,breakfast
condiment,meat,snack food
seafood,meat,beverage
snack food,meat,breakfast
seafood,meat,prepared food
prepared food,meat,condiment
seafood,meat,prepared food
seafood,meat,beverage
meat,meat,prepared food
meat,vegetable,snack food
vegetable,meat,snack food
snack food,snack food,prepared food
meat,meat,alcohol
meat,meat,snack food
snack food,snack food,prepared food
bread,seafood,snack food
snack food,prepared food,eggs
cheese,seafood,snack food
prepared food,prepared food,prepared food
meat,meat,snack food
bread,prepared food,prepared food
prepared food,condiment,snack food
seafood,condiment,fruit
snack food,cheese,prepared food
prepared food,condiment,prepared food
eggs,meat,meat
seafood,meat,prepared food
cheese,cheese,cheese
alcohol,snack food,alcohol
condiment,seafood,alcohol
condiment,meat,fruit
meat alternative,meat,cheese
snack food,meat,meat
prepared food,prepared food,prepared food
condiment,meat,fruit
prepared food,prepared food,bread
condiment,condiment,condiment
meat,seafood,cheese
meat,meat,beverage
vegetable,meat,condiment
seafood,spice,condiment
seafood,seafood,fruit
meat,seafood,snack food
meat,meat,snack food
meat,meat,alcohol
meat,meat,snack food
dairy,meat,beverage
prepared food,prepared food,snack food
meat,prepared food,cheese
meat,meat,snack food
seafood,meat,snack food
seafood,meat,condiment
meat alternative,meat,nuts
meat,meat,fruit
snack food,seafood,condiment
seafood,seafood,snack food
seafood,meat,beverage
prepared food,meat,snack food
meat,meat,condiment
meat,prepared food,snack food
meat,meat,snack food
snack food,seafood,vegetable
prepared food,pasta,pasta
meat,seafood,snack food
seafood,seafood,beverage
prepared food,prepared food,snack food
meat,prepared food,beverage
snack food,alcohol,snack food
prepared food,meat,bread
meat,meat,snack food
meat,meat,snack food
prepared food,meat,meat
vegetable,condiment,condiment
seafood,eggs,eggs
meat,meat,snack food
meat alternative,meat,snack food
meat,meat,snack food
seafood,fruit,snack food
meat,snack food,snack food
seafood,meat,snack food
condiment,grains,vegetable
prepared food,prepared food,condiment
prepared food,beverage,condiment
prepared food,meat,fruit
snack food,seafood,condiment
meat,meat,cheese
meat,meat,snack food
seafood,meat,spice
prepared food,meat,snack food
prepared food,snack food,prepared food
pasta,prepared food,prepared food
seafood,meat,beverage
seafood,prepared food,fruit
meat,meat,vegetable
prepared food,seafood,breakfast
prepared food,alcohol,beverage
seafood,meat,fruit
meat,meat,meat
meat,seafood,fruit
meat,meat,meat
prepared food,alcohol,snack food
meat,meat,snack food
prepared food,meat,snack food
prepared food,seafood,snack food
meat,seafood,prepared food
eggs,vegetable,fruit
vegetable,meat,fruit
meat,prepared food,fruit
seafood,meat,snack food
meat,meat,fruit
meat,seafood,prepared food
prepared food,meat,condiment
prepared food,snack food,cheese
vegetable,meat,snack food
snack food,meat,prepared food
condiment,meat,nuts
bread,prepared food,snack food
prepared food,seafood,snack food
seafood,seafood,vegetable
prepared food,meat,snack food
seafood,vegetable,grain
meat,vegetable,breakfast
fruit,seafood,alcohol
meat,seafood,snack food
vegetable,fruit,snack food
prepared food,prepared food,snack food
condiment,condiment,meat
meat,meat,snack food
snack food,snack food,condiment
meat,prepared food,snack food
prepared food,meat,beverage
prepared food,meat,snack food
meat,meat,snack food
prepared food,seafood,condiment
meat,meat,snack food
seafood,vegetable,nuts
seafood,prepared food,vegetable
meat,meat,beverage
snack food,seafood,snack food
meat,meat,snack food
prepared food,prepared food,snack food
seafood,meat,snack food
prepared food,vegetable,snack food
seafood,snack food,snack food
prepared food,meat,prepared food
meat,meat,vegetable
prepared food,meat,snack food
meat,meat,snack food
prepared food,meat,grain
vegetable,seafood,meat alternative
meat,prepared food,snack food
meat,meat,snack food
meat,meat,snack food
seafood,meat,condiment
seafood,meat,snack food
seafood,snack food,snack food
seafood,meat,cheese
seafood,seafood,condiment
meat,seafood,vegetable
meat,meat,alcohol
vegetable,vegetable,prepared food
meat,seafood,snack food
seafood,meat,vegetable
prepared food,meat,snack food
prepared food,meat,fruit
bread,prepared food,spice
prepared food,eggs,meat
prepared food,seafood,snack food
prepared food,vegetable,snack food
meat,seafood,snack food
seafood,meat,prepared food
seafood,seafood,prepared food
seafood,meat,breakfast
prepared food,prepared food,snack food
breakfast,prepared food,snack food
meat,meat,prepared food
prepared food,seafood,snack food
prepared food,snack food,snack food
meat,prepared food,snack food
seafood,meat,snack food
prepared food,seafood,condiment
fruit,condiment,snack food
meat,meat,prepared food
seafood,meat,snack food
prepared food,meat,prepared food
meat,meat,condiment
vegetable,grain,grain
seafood,meat,condiment
seafood,meat,vegetable
prepared food,seafood,snack food
prepared food,meat,snack food
cheese,prepared food,snack food
meat,seafood,prepared food
condiment,meat,snack food
snack food,seafood,fruit
meat,meat,condiment
meat,meat,condiment
snack food,snack food,snack food
seafood,meat,fruit
prepared food,prepared food,snack food
prepared food,meat,snack food
meat,prepared food,condiment
seafood,seafood,snack food
prepared food,prepared food,snack food
vegetable,prepared food,fruit
meat,meat,meat
prepared food,meat,prepared food
prepared food,meat,prepared food
prepared food,meat,snack food
seafood,meat,vegetable
seafood,seafood,snack food
seafood,meat,prepared food
fruit,meat,snack food
vegetable,seafood,snack food
prepared food,meat,prepared food
meat,meat,snack food
prepared food,meat,dairy
prepared food,meat,snack food
prepared food,seafood,snack food
seafood,prepared food,snack food
snack food,snack food,snack food
beverage,snack food,snack food
seafood,seafood,alcohol
beverage,meat,snack food
seafood,vegetable,snack food
seafood,seafood,snack food
vegetable,meat,fruit
prepared food,beverage,fruit
seafood,meat,beverage
seafood,meat,snack food
vegetable,prepared food,snack food
vegetable,meat,snack food
prepared food,seafood,snack food
breakfast,bread,breakfast
prepared food,meat,condiment
prepared food,prepared food,prepared food
seafood,meat,snack food
seafood,seafood,meat
meat,seafood,prepared food
snack food,prepared food,vegetable
seafood,meat,meat
meat,eggs,breakfast
prepared food,vegetable,snack food
meat,meat,snack food
meat,meat,snack food
prepared food,prepared food,snack food
seafood,meat,snack food
prepared food,meat,snack food
seafood,beverage,condiment
vegetable,seafood,snack food
seafood,meat,condiment
meat,vegetable,beverage
vegetable,seafood,vegetable
meat,prepared food,snack food
seafood,meat,snack food
prepared food,prepared food,prepared food
meat,meat,snack food
meat,alcohol,snack food
condiment,snack food,snack food
meat,prepared food,snack food
prepared food,prepared food,prepared food
prepared food,meat,snack food
vegetable,meat,vegetable
alcohol,meat,snack food
seafood,seafood,snack food
prepared food,seafood,fruit
meat,meat,snack food
prepared food,seafood,meat
beverage,meat,snack food
vegetable,meat,meat
prepared food,vegetable,beverage
prepared food,meat,snack food
prepared food,meat,dairy
meat,seafood,meat
seafood,meat,snack food
seafood,seafood,snack food
prepared food,prepared food,condiment
vegetable,meat,snack food
vegetable,seafood,snack food
prepared food,seafood,fruit
prepared food,meat,beverage
meat,prepared food,bread
snack food,meat,snack food
prepared food,seafood,prepared food
prepared food,beverage,snack food
snack food,seafood,snack food
snack food,snack food,snack food
snack food,snack food,snack food
condiment,alcohol,vegetable
meat,vegetable,grain
meat,meat,prepared food
meat alternative,prepared food,vegetable
prepared food,prepared food,snack food
meat,meat,snack food
meat,meat,snack food
pasta,meat,snack food
snack food,snack food,snack food
prepared food,meat,fruit
prepared food,vegetable,snack food
meat alternative,meat,snack food
seafood,meat,beverage
seafood,meat,prepared food
prepared food,meat,fruit
meat,seafood,snack food
meat,prepared food,snack food
seafood,meat,snack food
vegetable,prepared food,fruit
snack food,fruit,fruit
meat,meat,meat
seafood,prepared food,spice
meat,prepared food,fruit
prepared food,seafood,snack food
vegetable,prepared food,dairy
prepared food,prepared food,prepared food
meat,meat,prepared food
vegetable,vegetable,snack food
condiment,meat,cheese
vegetable,vegetable,fruit
prepared food,vegetable,fruit
seafood,vegetable,alcohol
meat,meat,cheese
vegetable,condiment,prepared food
vegetable,fruit,cheese
vegetable,meat,fruit
pasta,fruit,dairy
fruit,fruit,breakfast
vegetable,vegetable,nuts
vegetable,vegetable,fruit
vegetable,seafood,beverage
beverage,condiment,nuts
vegetable,fruit,snack food
condiment,fruit,dairy
breakfast,vegetable,vegetable
fruit,fruit,fruit
vegetable,beverage,fruit
meat,vegetable,nuts
vegetable,snack food,nuts
fruit,beverage,grain
vegetable,vegetable,cheese
fruit,fruit,fruit
fruit,vegetable,condiment
fruit,cheese,cheese
fruit,grain,alcohol
eggs,fruit,alcohol
vegetable,vegetable,bread
vegetable,breakfast,prepared food
fruit,vegetable,cheese
fruit,beverage,condiment
vegetable,prepared food,snack food
fruit,seafood,meat alternative
meat,vegetable,prepared food
nuts,condiment,snack food
snack food,vegetable,fruit
vegetable,vegetable,prepared food
bread,vegetable,fruit
seafood,vegetable,alcohol
vegetable,meat,fruit
seafood,meat,condiment
vegetable,vegetable,fruit
beverage,vegetable,fruit
fruit,vegetable,alcohol
vegetable,bread,nuts
fruit,snack food,vegetable
pasta,vegetable,nuts
nuts,fruit,fruit
vegetable,vegetable,condiment
vegetable,condiment,alcohol
vegetable,fruit,bread
vegetable,vegetable,snack food
prepared food,vegetable,snack food
fruit,vegetable,dairy
dairy,vegetable,nuts
prepared food,prepared food,vegetable
vegetable,vegetable,fruit
prepared food,fruit,fruit
condiment,seafood,fruit
vegetable,vegetable,bread
snack food,prepared food,snack food
condiment,vegetable,vegetable
beverage,alcohol,snack food
nuts,vegetable,alcohol
fruit,meat,fruit
vegetable,vegetable,nuts
vegetable,vegetable,spice
fruit,vegetable,fruit
fruit,fruit,dairy
fruit,snack food,vegetable
fruit,meat,fruit
vegetable,prepared food,meat
vegetable,vegetable,fruit
fruit,fruit,snack food
alcohol,condiment,cheese
pasta,vegetable,beverage
fruit,vegetable,snack food
fruit,beverage,cheese
fruit,vegetable,cheese
fruit,vegetable,fruit
fruit,seafood,condiment
vegetable,spice,grain
fruit,beverage,fruit
vegetable,seafood,snack food
fruit,vegetable,condiment
vegetable,snack food,vegetable
fruit,alcohol,fruit
beverage,fruit,vegetable
vegetable,vegetable,snack food
fruit,alcohol,fruit
vegetable,vegetable,vegetable
fruit,meat,beverage
prepared food,fruit,fruit
condiment,alcohol,snack food
vegetable,vegetable,vegetable
vegetable,condiment,bread
fruit,snack food,condiment
spice,prepared food,fruit
vegetable,fruit,grain
dairy,meat,grain
bread,fruit,fruit
beverage,vegetable,cheese
vegetable,vegetable,prepared food
fruit,seafood,fruit
prepared food,meat,fruit
fruit,vegetable,fruit
fruit,fruit,nuts
vegetable,beverage,breakfast
fruit,fruit,fruit
fruit,meat,condiment
condiment,vegetable,snack food
fruit,condiment,fruit
vegetable,fruit,fruit
condiment,vegetable,snack food
fruit,vegetable,alcohol
fruit,vegetable,fruit
vegetable,vegetable,fruit
vegetable,vegetable,cheese
vegetable,vegetable,meat
prepared food,vegetable,prepared food
vegetable,meat,cheese
vegetable,prepared food,fruit
vegetable,fruit,bread
alcohol,prepared food,prepared food
seafood,nuts,fruit
pasta,meat,bread
fruit,cheese,vegetable
vegetable,vegetable,fruit
vegetable,vegetable,fruit
fruit,vegetable,fruit
fruit,vegetable,alcohol
prepared food,prepared food,fruit
meat,seafood,snack food
snack food,snack food,prepared food
condiment,vegetable,fruit
fruit,vegetable,condiment
meat,vegetable,fruit
cheese,meat,breakfast
seafood,meat,snack food
vegetable,vegetable,fruit
vegetable,vegetable,fruit
fruit,meat,condiment
seafood,snack food,alcohol
snack food,meat,vegetable
prepared food,condiment,condiment
snack food,fruit,fruit
vegetable,vegetable,condiment
vegetable,vegetable,vegetable
seafood,meat,prepared food
vegetable,vegetable,fruit
snack food,snack food,condiment
prepared food,vegetable,fruit
seafood,fruit,vegetable
vegetable,snack food,fruit
fruit,vegetable,snack food
snack food,snack food,nuts
vegetable,snack food,condiment
prepared food,vegetable,fruit
prepared food,prepared food,fruit
cheese,vegetable,fruit
seafood,condiment,alcohol
dairy,condiment,eggs
meat,vegetable,dairy
vegetable,spice,grain
meat,alcohol,prepared food
vegetable,fruit,nuts
prepared food,prepared food,fruit
vegetable,prepared food,snack food
condiment,vegetable,snack food
prepared food,prepared food,condiment
condiment,vegetable,meat
vegetable,condiment,fruit
snack food,prepared food,fruit
seafood,meat,vegetable
meat,condiment,snack food
meat,meat,condiment
meat,vegetable,alcohol
prepared food,vegetable,vegetable
vegetable,meat,snack food
fruit,seafood,condiment
prepared food,fruit,fruit
meat,vegetable,prepared food
vegetable,vegetable,beverage
vegetable,fruit,cheese
seafood,cheese,prepared food
fruit,condiment,condiment
vegetable,vegetable,alcohol
fruit,vegetable,dairy
vegetable,vegetable,snack food
seafood,condiment,condiment
condiment,alcohol,beverage
vegetable,vegetable,cheese
meat,alcohol,vegetable
beverage,vegetable,fruit
pasta,alcohol,condiment
seafood,vegetable,eggs
vegetable,vegetable,vegetable
vegetable,vegetable,fruit
vegetable,vegetable,snack food
snack food,meat,snack food
meat,vegetable,fruit
snack food,prepared food,alcohol
vegetable,prepared food,meat
vegetable,spice,cheese
vegetable,breakfast,breakfast
nuts,meat,snack food
pasta,seafood,cheese
